"Season","Colony","ring","sex","Mate_ID","Focal_Seasons","Mate_Seasons","Mate_min_Seasons","Focal_min_Seasons","predation","Pair","julian_date_first","days_to_last_brood","total_pair_duration","total_pair_duration_nogaps","N_Clutches_Pair","N_Clutches_Focal","breeding_exp_pair_nogaps","breeding_exp_Focal","breeding_exp_Focal_nogaps","breeding_exp_Mate","breeding_exp_Mate_nogaps","breeding_exp_Focal_days_season","breeding_exp_Mate_days_season","N_of_life_partners_Focal","N_of_life_partners_Mate","breeding_exp_pair_days_season","tot_fitness","N_eggs_season","Season_Focal","Season_Mate","season_length_population","recruitment_age_Focal","recruitment_age_Mate","Clutch_size_pair_season_mean","N_Clutches_Mate","N_Clutches_Pair_succ","N_hatched","lifespan_min_Focal","lifespan_min_Mate","lifespan_exact_Focal","lifespan_exact_Mate","prop_succ_breeding_attempt","Focal.cohort","Mate.cohort","season_length","season_of_protection","Col_Size","season_start","Min_Age_Focal_season_days","Min_Age_Mate_season_days","breeding_exp_pair_days_season_earliest","breeding_exp_Focal_days_season_earliest","breeding_exp_Mate_days_season_earliest","Min_Age_Focal_season_days_earliest","Min_Age_Mate_season_days_earliest"
"2015/2016",27,"BH88765","1","BH94668",3,NA,3,3,"natural","BH94668_BH88765",4,87,4,4,5,5,3,3,3,3,3,946,946,1,1,946,2,16,"2015/2016_BH88765","2015/2016_BH94668",321,1,NA,3.25,5,1,NA,4,4,4,NA,0.2,2012,NA,318,NA,28,"2015-10-05",1298,1204,715,715,715,1067,973
"2015/2016",27,"BH88765","1","BH94668",3,NA,3,3,"natural","BH94668_BH88765",4,87,4,4,5,5,3,3,3,3,3,946,946,1,1,946,2,16,"2015/2016_BH88765","2015/2016_BH94668",321,1,NA,3.25,5,1,1,4,4,4,NA,0.2,2012,NA,318,NA,28,"2015-10-05",1298,1204,715,715,715,1067,973
"2015/2016",27,"BH88762","1","BH88816",3,1,2,3,"natural","BH88816_BH88762",114,110,1,1,3,3,1,3,3,1,1,862,98,2,1,98,0,9,"2015/2016_BH88762","2015/2016_BH88816",321,1,2,3,3,NA,NA,4,2,4,2,NA,2012,2014,208,NA,28,"2016-01-23",1278,822,0,764,0,1180,724
"2015/2016",27,"BH88762","1","BH88816",3,1,2,3,"natural","BH88816_BH88762",114,110,1,1,3,3,1,3,3,1,1,862,98,2,1,98,0,9,"2015/2016_BH88762","2015/2016_BH88816",321,1,2,3,3,NA,3,4,2,4,2,NA,2012,2014,208,NA,28,"2016-01-23",1278,822,0,764,0,1180,724
"2015/2016",32,"BH23982","1","BH88637",9,NA,5,10,"natural","BH88637_BH23982",10,113,3,3,4,4,3,3,3,3,3,811,811,2,1,811,5,14,"2015/2016_BH23982","2015/2016_BH88637",321,NA,NA,3.57142857142857,4,2,0,12,6,12,NA,0.5,2006,NA,312,NA,44,"2015-10-11",3700,2063,612,612,612,3501,1864
"2015/2016",32,"BH23982","1","BH88637",9,NA,5,10,"natural","BH88637_BH23982",10,113,3,3,4,4,3,3,3,3,3,811,811,2,1,811,5,14,"2015/2016_BH23982","2015/2016_BH88637",321,NA,NA,3.57142857142857,4,2,2,12,6,12,NA,0.5,2006,NA,312,NA,44,"2015-10-11",3700,2063,612,612,612,3501,1864
"2015/2016",32,"BH23982","1","BH88637",9,NA,5,10,"natural","BH88637_BH23982",10,113,3,3,4,4,3,3,3,3,3,811,811,2,1,811,5,14,"2015/2016_BH23982","2015/2016_BH88637",321,NA,NA,3.57142857142857,4,2,1,12,6,12,NA,0.5,2006,NA,312,NA,44,"2015-10-11",3700,2063,612,612,612,3501,1864
"2015/2016",32,"BH23982","1","BH88637",9,NA,5,10,"natural","BH88637_BH23982",10,113,3,3,4,4,3,3,3,3,3,811,811,2,1,811,5,14,"2015/2016_BH23982","2015/2016_BH88637",321,NA,NA,3.57142857142857,4,2,4,12,6,12,NA,0.5,2006,NA,312,NA,44,"2015-10-11",3700,2063,612,612,612,3501,1864
"2015/2016",32,"BH70804","1","BH94540",NA,2,3,8,"natural","BH94540_BH70804",118,113,3,3,3,3,2,3,3,2,2,926,577,2,2,577,2,9,"2015/2016_BH70804","2015/2016_BH94540",321,NA,2,3,3,1,0,9,5,NA,5,0.333333333333333,NA,2013,204,NA,44,"2016-01-27",3090,1182,486,835,486,2999,1091
"2015/2016",32,"BH70804","1","BH94540",NA,2,3,8,"natural","BH94540_BH70804",118,113,3,3,3,3,2,3,3,2,2,926,577,2,2,577,2,9,"2015/2016_BH70804","2015/2016_BH94540",321,NA,2,3,3,1,3,9,5,NA,5,0.333333333333333,NA,2013,204,NA,44,"2016-01-27",3090,1182,486,835,486,2999,1091
"2015/2016",37,"BH76536","1","BJ12841",NA,NA,1,7,"natural","BJ12841_BH76536",120,34,2,2,5,5,1,3,3,1,1,938,168,2,1,168,4,18,"2015/2016_BH76536","2015/2016_BJ12841",321,NA,NA,3.66666666666667,5,1,4,8,2,NA,NA,0.2,NA,NA,202,NA,93,"2016-01-29",2544,426,0,770,0,2376,258
"2015/2016",37,"BH76536","1","BJ12841",NA,NA,1,7,"natural","BJ12841_BH76536",120,34,2,2,5,5,1,3,3,1,1,938,168,2,1,168,4,18,"2015/2016_BH76536","2015/2016_BJ12841",321,NA,NA,3.66666666666667,5,1,0,8,2,NA,NA,0.2,NA,NA,202,NA,93,"2016-01-29",2544,426,0,770,0,2376,258
"2015/2016",37,"BH76536","1","BJ12841",NA,NA,1,7,"natural","BJ12841_BH76536",120,34,2,2,5,5,1,3,3,1,1,938,168,2,1,168,4,18,"2015/2016_BH76536","2015/2016_BJ12841",321,NA,NA,3.66666666666667,5,1,NA,8,2,NA,NA,0.2,NA,NA,202,NA,93,"2016-01-29",2544,426,0,770,0,2376,258
"2015/2016",37,"BH85366","1","BH42435",4,NA,12,5,"natural","BH42435_BH85366",209,28,3,3,2,2,3,3,3,3,3,943,943,1,1,943,2,5,"2015/2016_BH85366","2015/2016_BH42435",321,3,NA,2.6,2,1,NA,5,12,5,NA,0.5,2011,NA,113,NA,93,"2016-04-27",1965,4452,858,858,858,1880,4367
"2015/2016",37,"BH85366","1","BH42435",4,NA,12,5,"natural","BH42435_BH85366",209,28,3,3,2,2,3,3,3,3,3,943,943,1,1,943,2,5,"2015/2016_BH85366","2015/2016_BH42435",321,3,NA,2.6,2,1,3,5,12,5,NA,0.5,2011,NA,113,NA,93,"2016-04-27",1965,4452,858,858,858,1880,4367
"2015/2016",38,"BH76625","1","BH76632",NA,5,6,7,"natural","BH76632_BH76625",130,82,3,3,4,4,3,3,3,3,3,838,838,1,1,838,2,15,"2015/2016_BH76625","2015/2016_BH76632",321,NA,4,3.8,4,1,0,7,6,NA,6,0.25,NA,NA,192,NA,18,"2016-02-08",2494,2204,728,728,728,2384,2094
"2015/2016",38,"BH76625","1","BH76632",NA,5,6,7,"natural","BH76632_BH76625",130,82,3,3,4,4,3,3,3,3,3,838,838,1,1,838,2,15,"2015/2016_BH76625","2015/2016_BH76632",321,NA,4,3.8,4,1,3,7,6,NA,6,0.25,NA,NA,192,NA,18,"2016-02-08",2494,2204,728,728,728,2384,2094
"2015/2016",38,"BH76625","1","BH76632",NA,5,6,7,"natural","BH76632_BH76625",130,82,3,3,4,4,3,3,3,3,3,838,838,1,1,838,2,15,"2015/2016_BH76625","2015/2016_BH76632",321,NA,4,3.8,4,1,2,7,6,NA,6,0.25,NA,NA,192,NA,18,"2016-02-08",2494,2204,728,728,728,2384,2094
"2015/2016",71,"BH94582","1","BJ12592",2,NA,2,3,"protected","BJ12592_BH94582",112,116,1,1,2,2,1,2,3,1,1,854,94,3,1,94,4,7,"2015/2016_BH94582","2015/2016_BJ12592",321,1,NA,3.57142857142857,2,2,2,4,2,4,NA,1,2013,NA,210,4,51,"2016-01-21",1148,808,0,760,0,1054,714
"2015/2016",71,"BH94582","1","BJ12592",2,NA,2,3,"protected","BJ12592_BH94582",112,116,1,1,2,2,1,2,3,1,1,854,94,3,1,94,4,7,"2015/2016_BH94582","2015/2016_BJ12592",321,1,NA,3.57142857142857,2,2,4,4,2,4,NA,1,2013,NA,210,4,51,"2016-01-21",1148,808,0,760,0,1054,714
"2016/2017",7,"BH85152","1","BH94356",NA,NA,4,5,"natural","BH94356_BH85152",28,0,3,3,10,10,3,3,3,3,3,978,978,1,2,978,2,39,"2016/2017_BH85152","2016/2017_BH94356",244,NA,NA,4.07692307692308,10,1,3,5,5,NA,NA,0.1,NA,NA,217,NA,66,"2016-09-18",1915,1683,761,761,761,1698,1466
"2016/2017",7,"BH85152","1","BH94356",NA,NA,4,5,"natural","BH94356_BH85152",28,0,3,3,10,10,3,3,3,3,3,978,978,1,2,978,2,39,"2016/2017_BH85152","2016/2017_BH94356",244,NA,NA,4.07692307692308,10,1,5,5,5,NA,NA,0.1,NA,NA,217,NA,66,"2016-09-18",1915,1683,761,761,761,1698,1466
"2016/2017",7,"BH85152","1","BH94356",NA,NA,4,5,"natural","BH94356_BH85152",28,0,3,3,10,10,3,3,3,3,3,978,978,1,2,978,2,39,"2016/2017_BH85152","2016/2017_BH94356",244,NA,NA,4.07692307692308,10,1,0,5,5,NA,NA,0.1,NA,NA,217,NA,66,"2016-09-18",1915,1683,761,761,761,1698,1466
"2016/2017",7,"BH85152","1","BH94356",NA,NA,4,5,"natural","BH94356_BH85152",28,0,3,3,10,10,3,3,3,3,3,978,978,1,2,978,2,39,"2016/2017_BH85152","2016/2017_BH94356",244,NA,NA,4.07692307692308,10,1,4,5,5,NA,NA,0.1,NA,NA,217,NA,66,"2016-09-18",1915,1683,761,761,761,1698,1466
"2016/2017",7,"BH94348","1","BJ09952",NA,2,2,4,"natural","BJ09952_BH94348",4,6,3,3,12,12,2,3,3,2,2,934,364,2,1,364,0,42,"2016/2017_BH94348","2016/2017_BJ09952",244,NA,1,3.57142857142857,12,NA,0,5,3,NA,3,NA,NA,2014,241,NA,66,"2016-08-25",1677,849,129,699,129,1442,614
"2016/2017",7,"BH94348","1","BJ09952",NA,2,2,4,"natural","BJ09952_BH94348",4,6,3,3,12,12,2,3,3,2,2,934,364,2,1,364,0,42,"2016/2017_BH94348","2016/2017_BJ09952",244,NA,1,3.57142857142857,12,NA,1,5,3,NA,3,NA,NA,2014,241,NA,66,"2016-08-25",1677,849,129,699,129,1442,614
"2016/2017",7,"BH94348","1","BJ09952",NA,2,2,4,"natural","BJ09952_BH94348",4,6,3,3,12,12,2,3,3,2,2,934,364,2,1,364,0,42,"2016/2017_BH94348","2016/2017_BJ09952",244,NA,1,3.57142857142857,12,NA,2,5,3,NA,3,NA,NA,2014,241,NA,66,"2016-08-25",1677,849,129,699,129,1442,614
"2016/2017",7,"BJ09654","1","BJ09655",NA,NA,3,3,"natural","BJ09655_BJ09654",29,35,3,3,6,6,2,3,3,3,3,914,910,2,1,397,2,20,"2016/2017_BJ09654","2016/2017_BJ09655",244,NA,NA,3.4,6,1,0,5,5,NA,NA,0.166666666666667,NA,NA,216,NA,66,"2016-09-19",1306,1306,216,733,729,1125,1125
"2016/2017",7,"BJ09654","1","BJ09655",NA,NA,3,3,"natural","BJ09655_BJ09654",29,35,3,3,6,6,2,3,3,3,3,914,910,2,1,397,2,20,"2016/2017_BJ09654","2016/2017_BJ09655",244,NA,NA,3.4,6,1,3,5,5,NA,NA,0.166666666666667,NA,NA,216,NA,66,"2016-09-19",1306,1306,216,733,729,1125,1125
"2016/2017",7,"BJ09654","1","BJ09655",NA,NA,3,3,"natural","BJ09655_BJ09654",29,35,3,3,6,6,2,3,3,3,3,914,910,2,1,397,2,20,"2016/2017_BJ09654","2016/2017_BJ09655",244,NA,NA,3.4,6,1,2,5,5,NA,NA,0.166666666666667,NA,NA,216,NA,66,"2016-09-19",1306,1306,216,733,729,1125,1125
"2016/2017",8,"BH94547","1","BH89045",3,2,3,4,"natural","BH89045_BH94547",28,64,2,2,5,5,2,3,3,2,2,852,356,3,1,356,5,17,"2016/2017_BH94547","2016/2017_BH89045",244,2,2,3.47058823529412,5,2,3,5,3,5,3,0.4,2013,2014,217,NA,134,"2016-09-18",1473,1012,203,699,203,1320,859
"2016/2017",8,"BH94547","1","BH89045",3,2,3,4,"natural","BH89045_BH94547",28,64,2,2,5,5,2,3,3,2,2,852,356,3,1,356,5,17,"2016/2017_BH94547","2016/2017_BH89045",244,2,2,3.47058823529412,5,2,2,5,3,5,3,0.4,2013,2014,217,NA,134,"2016-09-18",1473,1012,203,699,203,1320,859
"2016/2017",8,"BH94547","1","BH89045",3,2,3,4,"natural","BH89045_BH94547",28,64,2,2,5,5,2,3,3,2,2,852,356,3,1,356,5,17,"2016/2017_BH94547","2016/2017_BH89045",244,2,2,3.47058823529412,5,2,0,5,3,5,3,0.4,2013,2014,217,NA,134,"2016-09-18",1473,1012,203,699,203,1320,859
"2016/2017",8,"BH94547","1","BH89045",3,2,3,4,"natural","BH89045_BH94547",28,64,2,2,5,5,2,3,3,2,2,852,356,3,1,356,5,17,"2016/2017_BH94547","2016/2017_BH89045",244,2,2,3.47058823529412,5,2,4,5,3,5,3,0.4,2013,2014,217,NA,134,"2016-09-18",1473,1012,203,699,203,1320,859
"2016/2017",8,"BH94858","1","BH85222",4,6,6,4,"natural","BH85222_BH94858",26,56,2,2,6,6,2,3,3,3,4,860,1231,2,2,382,2,22,"2016/2017_BH94858","2016/2017_BH85222",244,2,3,3.72727272727273,6,1,0,5,6,5,6,0.166666666666667,2012,2010,219,NA,134,"2016-09-16",1536,2251,219,697,1068,1373,2088
"2016/2017",8,"BH94858","1","BH85222",4,6,6,4,"natural","BH85222_BH94858",26,56,2,2,6,6,2,3,3,3,4,860,1231,2,2,382,2,22,"2016/2017_BH94858","2016/2017_BH85222",244,2,3,3.72727272727273,6,1,3,5,6,5,6,0.166666666666667,2012,2010,219,NA,134,"2016-09-16",1536,2251,219,697,1068,1373,2088
"2016/2017",8,"BH94858","1","BH85222",4,6,6,4,"natural","BH85222_BH94858",26,56,2,2,6,6,2,3,3,3,4,860,1231,2,2,382,2,22,"2016/2017_BH94858","2016/2017_BH85222",244,2,3,3.72727272727273,6,1,4,5,6,5,6,0.166666666666667,2012,2010,219,NA,134,"2016-09-16",1536,2251,219,697,1068,1373,2088
"2016/2017",8,"BH94858","1","BH85222",4,6,6,4,"natural","BH85222_BH94858",26,56,2,2,6,6,2,3,3,3,4,860,1231,2,2,382,2,22,"2016/2017_BH94858","2016/2017_BH85222",244,2,3,3.72727272727273,6,1,1,5,6,5,6,0.166666666666667,2012,2010,219,NA,134,"2016-09-16",1536,2251,219,697,1068,1373,2088
"2016/2017",8,"BH94858","1","BH85222",4,6,6,4,"natural","BH85222_BH94858",26,56,2,2,6,6,2,3,3,3,4,860,1231,2,2,382,2,22,"2016/2017_BH94858","2016/2017_BH85222",244,2,3,3.72727272727273,6,1,2,5,6,5,6,0.166666666666667,2012,2010,219,NA,134,"2016-09-16",1536,2251,219,697,1068,1373,2088
"2016/2017",11,"BH94387","1","BJ12588",3,NA,3,3,"natural","BJ12588_BH94387",29,8,2,2,10,10,2,3,3,2,2,846,551,1,1,551,0,30,"2016/2017_BH94387","2016/2017_BJ12588",244,1,NA,3.13333333333333,10,NA,0,3,3,3,NA,NA,2013,NA,216,NA,65,"2016-09-19",1252,1165,343,638,343,1044,957
"2016/2017",11,"BH94387","1","BJ12588",3,NA,3,3,"natural","BJ12588_BH94387",29,8,2,2,10,10,2,3,3,2,2,846,551,1,1,551,0,30,"2016/2017_BH94387","2016/2017_BJ12588",244,1,NA,3.13333333333333,10,NA,3,3,3,3,NA,NA,2013,NA,216,NA,65,"2016-09-19",1252,1165,343,638,343,1044,957
"2016/2017",11,"BH94387","1","BJ12588",3,NA,3,3,"natural","BJ12588_BH94387",29,8,2,2,10,10,2,3,3,2,2,846,551,1,1,551,0,30,"2016/2017_BH94387","2016/2017_BJ12588",244,1,NA,3.13333333333333,10,NA,2,3,3,3,NA,NA,2013,NA,216,NA,65,"2016-09-19",1252,1165,343,638,343,1044,957
"2016/2017",11,"BH94387","1","BJ12588",3,NA,3,3,"natural","BJ12588_BH94387",29,8,2,2,10,10,2,3,3,2,2,846,551,1,1,551,0,30,"2016/2017_BH94387","2016/2017_BJ12588",244,1,NA,3.13333333333333,10,NA,1,3,3,3,NA,NA,2013,NA,216,NA,65,"2016-09-19",1252,1165,343,638,343,1044,957
"2016/2017",11,"BH94429","1","BH76503",4,NA,8,4,"natural","BH76503_BH94429",26,7,2,2,8,9,2,3,3,3,3,884,922,2,2,415,0,20,"2016/2017_BH94429","2016/2017_BH76503",244,2,NA,2.7,8,NA,0,4,8,4,NA,NA,2012,NA,219,NA,65,"2016-09-16",1568,2821,203,672,710,1356,2609
"2016/2017",11,"BH94429","1","BH76503",4,NA,8,4,"natural","BH76503_BH94429",26,7,2,2,8,9,2,3,3,3,3,884,922,2,2,415,0,20,"2016/2017_BH94429","2016/2017_BH76503",244,2,NA,2.7,8,NA,1,4,8,4,NA,NA,2012,NA,219,NA,65,"2016-09-16",1568,2821,203,672,710,1356,2609
"2016/2017",11,"BH94441","1","BH88658",4,NA,6,4,"natural","BH88658_BH94441",27,8,4,4,7,7,3,3,3,4,4,870,1284,1,2,870,1,17,"2016/2017_BH94441","2016/2017_BH88658",244,2,NA,2.76470588235294,8,1,1,5,7,5,NA,0.142857142857143,2012,NA,218,NA,65,"2016-09-17",1566,2412,660,660,1074,1356,2202
"2016/2017",11,"BH94441","1","BH88658",4,NA,6,4,"natural","BH88658_BH94441",27,8,4,4,7,7,3,3,3,4,4,870,1284,1,2,870,1,17,"2016/2017_BH94441","2016/2017_BH88658",244,2,NA,2.76470588235294,8,1,0,5,7,5,NA,0.142857142857143,2012,NA,218,NA,65,"2016-09-17",1566,2412,660,660,1074,1356,2202
"2016/2017",11,"BH94441","1","BH88658",4,NA,6,4,"natural","BH88658_BH94441",27,8,4,4,7,7,3,3,3,4,4,870,1284,1,2,870,1,17,"2016/2017_BH94441","2016/2017_BH88658",244,2,NA,2.76470588235294,8,1,2,5,7,5,NA,0.142857142857143,2012,NA,218,NA,65,"2016-09-17",1566,2412,660,660,1074,1356,2202
"2016/2017",11,"BH94445","1","BH94622",4,3,3,4,"natural","BH94622_BH94445",37,34,2,2,4,4,2,3,3,2,2,917,526,3,2,526,0,12,"2016/2017_BH94445","2016/2017_BH94622",244,2,2,3,5,NA,0,5,4,5,4,NA,2012,2013,208,NA,65,"2016-09-27",1540,1224,352,743,352,1366,1050
"2016/2017",11,"BH94445","1","BH94622",4,3,3,4,"natural","BH94622_BH94445",37,34,2,2,4,4,2,3,3,2,2,917,526,3,2,526,0,12,"2016/2017_BH94445","2016/2017_BH94622",244,2,2,3,5,NA,2,5,4,5,4,NA,2012,2013,208,NA,65,"2016-09-27",1540,1224,352,743,352,1366,1050
"2016/2017",11,"BH94445","1","BH94622",4,3,3,4,"natural","BH94622_BH94445",37,34,2,2,4,4,2,3,3,2,2,917,526,3,2,526,0,12,"2016/2017_BH94445","2016/2017_BH94622",244,2,2,3,5,NA,3,5,4,5,4,NA,2012,2013,208,NA,65,"2016-09-27",1540,1224,352,743,352,1366,1050
"2016/2017",20,"BH94866","1","BH94762",4,2,3,4,"natural","BH94762_BH94866",7,60,1,1,8,8,1,3,3,2,2,877,494,2,2,178,2,28,"2016/2017_BH94866","2016/2017_BH94762",244,2,2,3.57142857142857,8,1,4,4,3,4,3,0.125,2012,2014,238,NA,48,"2016-08-28",1528,1132,0,699,316,1350,954
"2016/2017",20,"BH94866","1","BH94762",4,2,3,4,"natural","BH94762_BH94866",7,60,1,1,8,8,1,3,3,2,2,877,494,2,2,178,2,28,"2016/2017_BH94866","2016/2017_BH94762",244,2,2,3.57142857142857,8,1,0,4,3,4,3,0.125,2012,2014,238,NA,48,"2016-08-28",1528,1132,0,699,316,1350,954
"2016/2017",20,"BH94866","1","BH94762",4,2,3,4,"natural","BH94762_BH94866",7,60,1,1,8,8,1,3,3,2,2,877,494,2,2,178,2,28,"2016/2017_BH94866","2016/2017_BH94762",244,2,2,3.57142857142857,8,1,3,4,3,4,3,0.125,2012,2014,238,NA,48,"2016-08-28",1528,1132,0,699,316,1350,954
"2016/2017",31,"BH94879","1","BJ09664",4,NA,3,4,"natural","BJ09664_BH94879",22,45,4,4,8,8,3,3,3,3,3,902,902,1,1,902,3,21,"2016/2017_BH94879","2016/2017_BJ09664",244,2,NA,3,8,2,3,5,5,5,NA,0.25,2012,NA,223,NA,63,"2016-09-12",1541,1293,724,724,724,1363,1115
"2016/2017",31,"BH94879","1","BJ09664",4,NA,3,4,"natural","BJ09664_BH94879",22,45,4,4,8,8,3,3,3,3,3,902,902,1,1,902,3,21,"2016/2017_BH94879","2016/2017_BJ09664",244,2,NA,3,8,2,0,5,5,5,NA,0.25,2012,NA,223,NA,63,"2016-09-12",1541,1293,724,724,724,1363,1115
"2016/2017",31,"BH94879","1","BJ09664",4,NA,3,4,"natural","BJ09664_BH94879",22,45,4,4,8,8,3,3,3,3,3,902,902,1,1,902,3,21,"2016/2017_BH94879","2016/2017_BJ09664",244,2,NA,3,8,2,2,5,5,5,NA,0.25,2012,NA,223,NA,63,"2016-09-12",1541,1293,724,724,724,1363,1115
"2016/2017",31,"BH94879","1","BJ09664",4,NA,3,4,"natural","BJ09664_BH94879",22,45,4,4,8,8,3,3,3,3,3,902,902,1,1,902,3,21,"2016/2017_BH94879","2016/2017_BJ09664",244,2,NA,3,8,2,1,5,5,5,NA,0.25,2012,NA,223,NA,63,"2016-09-12",1541,1293,724,724,724,1363,1115
"2016/2017",31,"BH94888","1","BH85121",4,NA,6,4,"natural","BH85121_BH94888",25,42,4,4,5,5,3,3,3,3,3,907,907,1,1,907,7,14,"2016/2017_BH94888","2016/2017_BH85121",244,2,NA,2.85714285714286,5,3,1,5,7,5,NA,0.6,2012,NA,220,NA,63,"2016-09-15",1541,2340,729,729,729,1363,2162
"2016/2017",31,"BH94888","1","BH85121",4,NA,6,4,"natural","BH85121_BH94888",25,42,4,4,5,5,3,3,3,3,3,907,907,1,1,907,7,14,"2016/2017_BH94888","2016/2017_BH85121",244,2,NA,2.85714285714286,5,3,0,5,7,5,NA,0.6,2012,NA,220,NA,63,"2016-09-15",1541,2340,729,729,729,1363,2162
"2016/2017",31,"BH94888","1","BH85121",4,NA,6,4,"natural","BH85121_BH94888",25,42,4,4,5,5,3,3,3,3,3,907,907,1,1,907,7,14,"2016/2017_BH94888","2016/2017_BH85121",244,2,NA,2.85714285714286,5,3,2,5,7,5,NA,0.6,2012,NA,220,NA,63,"2016-09-15",1541,2340,729,729,729,1363,2162
"2016/2017",31,"BH94760","1","BJ17231",2,NA,2,3,"natural","BJ17231_BH94760",27,77,3,3,4,4,2,3,3,2,2,801,281,3,1,281,2,12,"2016/2017_BH94760","2016/2017_BJ17231",244,1,NA,3,4,1,3,4,3,4,NA,0.25,2014,NA,218,NA,63,"2016-09-17",1116,539,140,660,140,975,398
"2016/2017",31,"BH94760","1","BJ17231",2,NA,2,3,"natural","BJ17231_BH94760",27,77,3,3,4,4,2,3,3,2,2,801,281,3,1,281,2,12,"2016/2017_BH94760","2016/2017_BJ17231",244,1,NA,3,4,1,2,4,3,4,NA,0.25,2014,NA,218,NA,63,"2016-09-17",1116,539,140,660,140,975,398
"2016/2017",31,"BH94760","1","BJ17231",2,NA,2,3,"natural","BJ17231_BH94760",27,77,3,3,4,4,2,3,3,2,2,801,281,3,1,281,2,12,"2016/2017_BH94760","2016/2017_BJ17231",244,1,NA,3,4,1,1,4,3,4,NA,0.25,2014,NA,218,NA,63,"2016-09-17",1116,539,140,660,140,975,398
"2016/2017",31,"BH94873","1","BH94801",4,4,4,4,"natural","BH94801_BH94873",26,38,3,3,5,5,3,3,3,4,4,885,1143,1,2,885,2,14,"2016/2017_BH94873","2016/2017_BH94801",244,2,1,2.85714285714286,5,1,0,4,4,4,4,0.2,2012,2012,219,NA,63,"2016-09-16",1549,1581,704,704,962,1368,1400
"2016/2017",31,"BH94873","1","BH94801",4,4,4,4,"natural","BH94801_BH94873",26,38,3,3,5,5,3,3,3,4,4,885,1143,1,2,885,2,14,"2016/2017_BH94873","2016/2017_BH94801",244,2,1,2.85714285714286,5,1,3,4,4,4,4,0.2,2012,2012,219,NA,63,"2016-09-16",1549,1581,704,704,962,1368,1400
"2016/2017",31,"BH94873","1","BH94801",4,4,4,4,"natural","BH94801_BH94873",26,38,3,3,5,5,3,3,3,4,4,885,1143,1,2,885,2,14,"2016/2017_BH94873","2016/2017_BH94801",244,2,1,2.85714285714286,5,1,2,4,4,4,4,0.2,2012,2012,219,NA,63,"2016-09-16",1549,1581,704,704,962,1368,1400
"2016/2017",31,"BH94888","1","BH85121",4,NA,6,4,"natural","BH85121_BH94888",25,42,4,4,5,5,3,3,3,3,3,907,907,1,1,907,7,14,"2016/2017_BH94888","2016/2017_BH85121",244,2,NA,2.85714285714286,5,3,3,5,7,5,NA,0.6,2012,NA,220,NA,63,"2016-09-15",1541,2340,729,729,729,1363,2162
"2016/2017",31,"BH94881","1","BH88799",4,4,4,4,"natural","BH88799_BH94881",51,30,3,3,4,5,3,3,3,3,3,917,917,1,1,917,0,12,"2016/2017_BH94881","2016/2017_BH88799",244,2,2,3.16666666666667,4,NA,0,4,4,4,4,NA,2012,2012,194,NA,63,"2016-10-11",1556,1589,753,729,753,1368,1425
"2016/2017",31,"BH94881","1","BH88799",4,4,4,4,"natural","BH88799_BH94881",51,30,3,3,4,5,3,3,3,3,3,917,917,1,1,917,0,12,"2016/2017_BH94881","2016/2017_BH88799",244,2,2,3.16666666666667,4,NA,3,4,4,4,4,NA,2012,2012,194,NA,63,"2016-10-11",1556,1589,753,729,753,1368,1425
"2016/2017",31,"BH94881","1","BH88799",4,4,4,4,"natural","BH88799_BH94881",51,30,3,3,4,5,3,3,3,3,3,917,917,1,1,917,0,12,"2016/2017_BH94881","2016/2017_BH88799",244,2,2,3.16666666666667,4,NA,4,4,4,4,4,NA,2012,2012,194,NA,63,"2016-10-11",1556,1589,753,729,753,1368,1425
"2016/2017",31,"BH94881","1","BH88799",4,4,4,4,"natural","BH88799_BH94881",51,30,3,3,4,5,3,3,3,3,3,917,917,1,1,917,0,12,"2016/2017_BH94881","2016/2017_BH88799",244,2,2,3.16666666666667,4,NA,1,4,4,4,4,NA,2012,2012,194,NA,63,"2016-10-11",1556,1589,753,729,753,1368,1425
"2016/2017",32,"BH88783","1","BH94410",4,4,4,4,"natural","BH94410_BH88783",22,45,4,4,4,4,3,3,3,3,3,909,909,1,1,909,4,11,"2016/2017_BH88783","2016/2017_BH94410",244,2,2,2.81818181818182,4,2,0,5,5,5,5,0.5,2012,2012,223,NA,68,"2016-09-12",1576,1533,731,731,731,1398,1355
"2016/2017",32,"BH88783","1","BH94410",4,4,4,4,"natural","BH94410_BH88783",22,45,4,4,4,4,3,3,3,3,3,909,909,1,1,909,4,11,"2016/2017_BH88783","2016/2017_BH94410",244,2,2,2.81818181818182,4,2,2,5,5,5,5,0.5,2012,2012,223,NA,68,"2016-09-12",1576,1533,731,731,731,1398,1355
"2016/2017",32,"BH94485","1","BJ12618",3,NA,2,4,"natural","BJ12618_BH94485",27,62,3,3,4,4,2,3,3,2,2,866,443,1,1,443,4,13,"2016/2017_BH94485","2016/2017_BJ12618",244,2,NA,3.30769230769231,4,2,4,5,4,5,NA,0.5,2013,NA,218,NA,68,"2016-09-17",1503,907,287,710,287,1347,751
"2016/2017",32,"BH94485","1","BJ12618",3,NA,2,4,"natural","BJ12618_BH94485",27,62,3,3,4,4,2,3,3,2,2,866,443,1,1,443,4,13,"2016/2017_BH94485","2016/2017_BJ12618",244,2,NA,3.30769230769231,4,2,2,5,4,5,NA,0.5,2013,NA,218,NA,68,"2016-09-17",1503,907,287,710,287,1347,751
